IdRegione;NomeRegione;Anno;PopolazioneStranieraResidente;TassoDisoccupazioneStranieri;IndiceGhettizzazione;DenunceStranieriStimate;TassoCriminalitaPer1000
1;Lombardia;2023;1225500;8,1;1,25;75000;61,2
2;Lazio;2023;647200;10,9;18,75;37861;58,5
3;Emilia-Romagna;2023;563800;8,8;5,63;30501;54,1
4;Veneto;2023;506200;7,9;0;24297;48
5;Piemonte;2023;425700;9,7;11,25;21327;50,1
6;Toscana;2023;421400;10,8;18,13;23766;56,4
7;Campania;2023;271800;22,8;93,13;10464;38,5
8;Sicilia;2023;196500;23,9;100;6681;34
9;Puglia;2023;144300;17,9;62,5;5064;35,1
10;Marche;2023;134800;11,8;24,38;5809;43,1
11;Liguria;2023;151400;8,4;3,13;7918;52,3
12;Friuli-Venezia Giulia;2023;120300;8,4;3,13;5052;42
13;Calabria;2023;98100;20,9;81,25;3188;32,5
14;Abruzzo;2023;86400;20,9;81,25;2678;31
15;Umbria;2023;93500;11,8;24,38;4226;45,2
16;Sardegna;2023;51200;20,9;81,25;1561;30,5
17;Trentino-Alto Adige;2023;104100;8,4;3,13;4320;41,5
18;Basilicata;2023;23200;20,9;81,25;691;29,8
19;Molise;2023;13400;20,9;81,25;381;28,5
20;Valle d'Aosta;2023;8300;8,4;3,13;340;41
