anno;nome_regione;macroarea;occupati_immigrati_k;pil_generato_mld;incidenza_pil_perc;fabbisogno_occupati
2024;Piemonte;Nord;204;14,1;0,098;48376
2024;Valle d'Aosta;Nord;5;0,5;0,103;1024
2024;Liguria;Nord;73;7;0,132;21000
2024;Lombardia;Nord;600;41,1;0,091;152000
2024;Trentino Alto Adige;Nord;50;5,8;0,109;24100
2024;Veneto;Nord;272;19,8;0,109;69000
2024;Friuli Venezia Giulia;Nord;58;4,5;0,108;16300
2024;Emilia Romagna;Nord;268;21,5;0,122;67100
2024;Toscana;Centro;214;14,4;0,113;63000
2024;Umbria;Centro;44;2,4;0,101;12200
2024;Marche;Centro;59;3,4;0,076;19800
2024;Lazio;Centro;311;23,3;0,107;57600
2024;Abruzzo;Sud;39;2,6;0,07;11300
2024;Molise;Sud;6;0,4;0,051;1500
2024;Campania;Sud;96;5,6;0,047;28100
2024;Puglia;Sud;61;2,5;0,029;15600
2024;Basilicata;Sud;12;0,7;0,055;2700
2024;Calabria;Sud;39;1,9;0,053;7400
2024;Sardegna;Isole;26;1,3;0,033;5900
2024;Sicilia;Isole;75;4,2;0,041;15800
